start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
13.405617233560092,13.544936961451247,84,72,1,1,1,1,1,1,1,1,1,1,1,1
13.126977777777778,13.405617233560092,84,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.126977777777778,13.301127437641723,72,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.75545850340136,12.894778231292518,84,52,1,1,1,1,1,1,1,1,1,1,1,1
12.441989115646258,12.60452879818594,72,45,0,1,1,1,1,1,1,1,1,1,1,1,1,1
12.430379138321996,12.75545850340136,84,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.105299773242631,12.25622947845805,76,72,1,1,1,1,1,1,1,1,1,1,1,1,1
12.105299773242631,12.37232925170068,64,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.778936507936509,12.267839455782314,86,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.778936507936509,11.918256235827664,74,43,0,1,1,1,1,1,1,1,1,1,1,1
11.430637188208618,11.767326530612246,88,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.268097505668935,11.686056689342404,84,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.94301814058957,11.082337868480726,67,44,0,1,1,1,1,1,1,1,1,1,1,1
10.94301814058957,11.186827664399093,60,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.931408163265306,11.256487528344673,79,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.780478458049888,11.070727891156464,72,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.780478458049888,10.94301814058957,60,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.432437188208617,9.583366893424035,91,47,1,1,1,1,1,1,1,1,1,1,1,1,1
9.420827210884353,9.571756916099773,79,45,1,1,1,1,1,1,1,1,1,1,1,1,1
9.10735782312925,9.432437188208617,91,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.770668480725623,9.235067573696144,79,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.770668480725623,9.037697959183673,67,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.433979138321995,8.90998820861678,86,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
